funder,works count
NIGMS,2
"Ministry of Land, Infrastructure and Transport",2
Fundação de Amparo à Pesquisa e Inovação do Estado de Santa Catarina,2
Medical Research Charities Group,2
Meath Foundation,2
Science and Technology Project of State Grid,2
Science and Technology Facilities Council,2
Agence Française de Développement,2
University of Nottingham,2
Styrelsen för Internationellt Utvecklingssamarbete,2
H2020,2
W. M. Keck Foundation,2
Eidgenössische Technische Hochschule Zürich,2
Iran National Science Foundation,2
Fundamental Research Funds for the Central Universities of China,2
Federal State of Salzburg,2
Zhejiang Provincial Natural Science Foundation,2
Technical University of Munich ,2
FEDER,2
Northwestern Polytechnical University,2
Sangmyung University,2
IITP,2
National Institute of Health Research,2
UK EPSRC,2
"Austrian National Foundation for Research, Technology, and Development",2
"Austrian Federal Ministry of Science, Research, and Economy",2
PHITPO CDC HHS,2
Erasmus+,2
Office of the Assistant Secretary of Defense for Health Affairs,2
"Cabinet Office, Government of Japan",2
European Union H2020,2
Open Society Foundations,2
H2020 Health,2
"Manipal Academy of Higher Education, Manipal",2
Agentschap voor Innovatie door Wetenschap en Technologie,2
State Scholarships Foundation,2
Hessian LOEWE initiative,2
Universitat Politècnica de València,2
Ludwig-Maximilians-Universität München,2
Universitat Jaume I,2
CERN,2
Hungarian Academy of Sciences,2
PRIMA,2
Brazilian National Council for Scientific and Technological Development,2
National Institute of Diabetes and Digestive and Kidney Diseases,2
National Institute of Child Health and Human Development,2
University of California,2
Novartis,2
NSERC Discovery,2
FWO,2
GlaxoSmithKline,2
"Research Grants Council, University Grants Committee",2
National Science Foundation (US),2
AmeriFlux Management Project,2
Fogarty International Center,2
"Departament d'Innovació, Universitats i Empresa, Generalitat de Catalunya",2
Eusko Jaurlaritza,2
United States National Science Foundation,2
FP7 People: Marie-Curie Actions,2
Cloud Technology Endowed Professorship,2
Johnson and Johnson,2
"Jiangxi young jinggang scholars award program, China",2
UK Natural Environment Research Council,2
Research Grants Council of Hong Kong,2
Ministerstvo Zdravotnictví Ceské Republiky,2
"Ministerstvo Školství, Mládeže a Tělovýchovy",2
Portuguese Foundation for Science and Technology,2
Innovative Medicines Initiative 2 Joint Undertaking,2
Maternal and Child Health Bureau,2
Sandia National Laboratories,2
EIT Climate-KIC,2
National Science Council,2
Victorian Government's Operational Infrastructure Support Program,2
Swedish Energy Agency,2
EPA,2
University of Minnesota,2
Youth Innovation Promotion Association of the Chinese Academy of Sciences,2
Ewing Marion Kauffman Foundation,2
National Medical Research Council,2
JST CREST,2
NCEZID CDC HHS,2
Polish National Science Center,2
Fundo para o Desenvolvimento das Ciências e da Tecnologia,2
Beijing Outstanding Young Scientist Program,2
Ministry of Higher Education and Research,2
National Institute of Environmental Health Sciences,2
Sciensano,2
IWT,2
CCF,2
German Ministry of Education and Research,2
American Heart Association,2
Netherlands Organization for Scientific Research,2
Nederlandse Organisatie voor Wetenschappelijk Onderzoek (Netherlands Organisation for Scientific Research),2
Vietnam National Foundation for Science and Technology Development,2
Hong Kong CERG,2
Children's Hospital of Eastern Ontario Foundation,2
Genome Alberta,2
University of Auckland,2
International Fund for Agricultural Development,2
Royal Children's Hospital Foundation,2
Murdoch Children’s Research Institute,2
"Department of Health, Australian Government",2
"Natural Science Foundation of Tianjin, China",2
Pfizer,2
Fondazione Telethon,2
Autism Speaks,2
Health Innovation Challenge Fund,2
Global Challenges Research Fund,2
Strategic Capability Research Centres Funding Initiative,2
Korea Centers for Disease Control and Prevention,2
National Institute of Health,2
Natural Science Foundation of Tianjin City,2
NCIPC CDC HHS,2
NIOSH CDC HHS,2
Czech Science Foundation,2
German Research Foundation,2
Boehringer Ingelheim,2
Natural Environment Research Council (NERC),2
European Community’s Seventh Framework Program,2
US Department of Energy,2
Ministerstwo Nauki i Szkolnictwa Wyższego,2
USDA National Institute of Food and Agriculture,2
State Major Science and Technology Special Project,2
National Program for Special Support of Eminent Professionals,2
Korea Health Industry Development Institute,2
Mitacs,2
DFG,2
IBM Science for Social Good initiative,2
Public Health England,2
Outstanding Youth Foundation of Hubei Province,2
Swedish Foundation for Strategic Research,2
Fondo de Fomento al Desarrollo Científico y Tecnológico,2
University of California Berkeley,2
"Ministry of Health, Ethiopia",2
"Institut Pengurusan dan Pemantauan Penyelidikan, Universiti Malaya",2
National Oceanic and Atmospheric Administration,2
U.S. Food and Drug Administration,2
Centre National de la Recherche Scientifique,2
Beijing Municipal Natural Science Foundation,2
LHL International,2
Nanjing University of Information Science and Technology,2
Jiangsu Key Laboratory of Agricultural Meteorology Foundation,2
Foundation of Northwest Normal University,2
Fondation Bettencourt Schueller,2
Tianjin Educational Science Planning Project,2
Department of Homeland Security,2
National Institute for Environmental Studies,2
WheatIS Expert Working Group,2
Shanghai Aerospace Science and Technology Innovation Foundation,2
Office of the Assistant Secretary for Health,2
"European Union, Third Health Programme",2
Early-Stage Research Start-up,1
Hong Kong RGC,1
Ministerstwo Nauki i Szkolnictwa Wyższego (Ministry of Science and Higher Education),1
KeyArea Research and Development Program of Guangdong Province,1
Hubei Technology Innovation Platform,1
Ministry of Education Innovation Research Team,1
National Key Technologies R&D Program of China,1
EU-Japan,1
JSPS Grant-in-Aid for Young Scientists (B),1
Marie Sk?odowska-Curie,1
Australia ARC,1
Postdoctoral Research Foundation of China,1
Department of Science and Technology of Sichuan Province,1
Natural Science Foundation of Sichuan Province,1
Alma Mater Studiorum - Università di Bologna,1
Fundação de Amparo à Pesquisa do Estado de S. Paulo,1
Chief Scientist Office [UK],1
Australian National Health and Medical Research Council Practitioner Fellowship,1
"Ashley Hopkins is a researcher funded by a Postdoctoral Fellowship from the National Breast Cancer Foundation, Australia",1
Cancer Council SA’s Beat Cancer Project on behalf of its donors and the State Government of South Australia through the Department of Health,1
Eunice Kennedy Shriver National Institute of Child Health and Human Development,1
"Teva Branded Pharmaceutical Products R&D, Inc. (Frazer, PA)",1
Réseau provincial en recherche en adaptation-réadaptation,1
Office des personnes handicapées du Québec,1
New Star Team of Xi’an University of Posts and Telecommunications,1
Scientific Research Program Funded by Shaanxi Provincial Education Department,1
Iowa Department of Transportation,1
Humanities and Social Sciences,1
Project of ZTE Cooperation Research,1
Jiangsu province key research and development program: Social development project,1
Jiangsu province key research and development program: Industry outlook and common key technology projects,1
University of Lancaster,1
Qing Lan Project of Jiangsu Province,1
"1311 Talent Plan Foundation of NUPT, NUPTSF",1
Open Foundation of the State Key Laboratory of Information Security of China,1
Institute of Information and Communications Technology Planning and Evaluation (IITP) Grant through Korean Government [Ministry of Science and ICT (MSIT)],1
Electronics and Telecommunications Research Institute (ETRI) Grant through Korean Government,1
SSHRC,1
Andrew Carnegie Fellowship,1
Seattle Children’s Enterprise Analytics,1
"The Europe Center of Stanford University, United States",1
Austrian Research Promotion Agency (FFG),1
"Austrian Federal Ministry of Transport, Innovation and Technology (BMVIT)",1
Agencia Nacional de Investigación e Innovación,1
HIT University Educational Research Project,1
AHRC,1
Key Natural Science Foundation of Education Bureau of Anhui Province,1
Berlin Institute for Applied Research (QM ROCT): IFAFQMROCT,1
German Federal Ministry of Economic Affairs and Energy,1
European Commission Erasmus+ programme,1
The IITP (Institute of Information and Communications Technology Planning and Evaluation),1
Amazon AWS in Education Research Grant,1
"Key Laboratory of Broadband Wireless Communication and Sensor Network Technology, Nanjing University of Posts and Telecommunications",1
National Institute for Health Research (NIHR),1
KTH SmarTS Lab,1
Guangdong University of Petrochemical Technology’s Internal Project,1
Aspen Center for Physics,1
Jiangsu Provincial Medical Youth Talent,1
Xuzhou Medical Young Talents Projects,1
ESRC,1
Shandong Provincial Natural Science Foundation for Young Scholars of China,1
Division of Advanced Cyberinfrastructure,1
National Institute for Health Research (NIHR; https://www.nihr.ac.uk/) Doctoral Research Fellowship,1
China Social Science Fund,1
Politecnico di Milano,1
