funder,works count
Ph.D. start-up foundation of Longyan University,1
the Japan Society for the Promotion of Science (JSPS) Grant-in-Aid for Scientific Research (A),1
the Japan Society for the Promotion of Science (JSPS) Grant-in-Aid for Scientific Research (S),1
British Heart Foundation,1
postdoctoral research foundation of china,1
northwest normal university,1
national natural science foundation of china,1
lanzhou science and technology bureau,1
Ministry of Science and Technology Taiwan,1
International Partnership Program of the Chinese Academy of Sciences,1
13th Five-year Informatization Plan of the Chinese Academy of Sciences,1
Aid for Cancer Research,1
Genentech,1
American College of Radiology Imaging Network,1
Radiological Society of North America,1
Philips,1
Gordon and Betty Moore Foundation,1
Chan Zuckerberg Initiative Donor-Advised Fund,1
Silicon Valley Community Foundation,1
Alex's Lemonade Stand Foundation,1
CGI,1
WWF- Global Science,1
Global Change Institute,1
IBM Corporate Service Corps,1
University of Queensland,1
Education Department of Shaanxi Province,1
European Research Council (ERC) through Project BEACON,1
Research and Development,1
RNP,1
Science and Technology Program of Sichuan Province,1
Climate-KIC of the European Institute of Innovation and Technology,1
Characteristic Innovation Projects of Ordinary Universities of Guangdong Province,1
Austrian Federal Ministry of Transport Innovation and Technology (BMVIT),1
"National Centre for the Replacement, Refinement and Reduction of Animals in Research",1
European Defence Agency,1
"Foundation for Excellent Youth Scholars of the Northwest Institute of Eco-Environment and Resources, Chinese Academy of Sciences",1
Southeast University,1
Sophia Children's Hospital Foundation,1
ZonMw,1
Open Source Software Research Centre at USP - NAPSoL,1
William and Flora Hewlett Foundation,1
US Office of Naval Research,1
"King Abdul-Aziz City for Science and Technology (KACST), Kingdom of Saudi Arabia",1
"National Science, Technology and Innovation Plan",1
Science and Technology Unit at Umm Al-Qura University for their continued logistics support,1
Military University of Technology,1
Dutch Science Foundation in the Commit2Data Program through the Enabling Personalised Intervention Project,1
"Fundamental theory and cutting edge technology Research Program of Institute of Information Engineering, CAS",1
Australian Research Council Discovery Early Career Researcher Award,1
National High Technology Research and Development Program of China 863,1
Trafikverket,1
European Union’s Horizon 2020 Research and Innovation program,1
Marie Skłodowska-Curie Innovative Training Networks,1
National Natural Science Foundation of Heilongjiang Province,1
the Key Science Technology Specific Projects of Heilongjiang Province,1
Deutsches Zentrum für Luft- und Raumfahrt,1
Université de Recherche Paris Sciences et Lettres,1
Jacobs University,1
U.S. Geological Survey,1
IBM Faculty Award,1
MAIVISTO - Massive Adaptive Internet Video Streaming Using the Cloud Bando START UP Linea 1 - Big Data (2014-2016),1
Beijing Municipal Science and Technology Commission,1
National Basic Research Program of China (973 Program),1
Huawei,1
973 Project,1
The One Hundred Talents Project of CAS,1
"US Army Corps of Engineers Engineer Research and Development Center, Broad Area Announcement",1
Natural Science Foundation of Hubei Province,1
Opening Project of Guangdong Provincial Key Laboratory of Data Security and Privacy Protection,1
Science and Technology Planning Project of Shenzhen Municipality,1
Key Research and Development Plan,1
Grantova Agentura eske Republiky,1
SVV,1
Spanish MCIU Ministry,1
Yahoo,1
Institute for Information and communications Technology Promotion,1
"The Deanship of Scientific Research (DSR), King Abdulaziz University, Jeddah",1
TAM project of Turkish Republic Ministry of Development,1
Changzhou Sci&#x0026;Tech Program,1
Key R&amp;D Project of Sichuan Province,1
National Natural Science Foundation of China and Xinjiang,1
Neurofibromatosis Therapeutic Acceleration Program,1
